X,Y,Value
178,125,1
179,125,0
180,125,1
181,125,1
182,125,3
183,125,3
184,125,2
185,125,1
186,125,3
187,125,0
188,125,1
189,125,1
190,125,4
191,125,2
192,125,1
193,125,0
194,125,0
195,125,0
196,125,3
197,125,1
150,126,4
151,126,1
152,126,6
153,126,4
154,126,4
155,126,1
156,126,9
157,126,2
158,126,1
159,126,3
160,126,4
161,126,5
162,126,7
163,126,0
164,126,0
165,126,2
166,126,0
167,126,1
168,126,4
169,126,1
170,126,1
171,126,2
172,126,0
173,126,1
174,126,1
175,126,5
176,126,1
177,126,2
178,126,1
179,126,0
180,126,1
181,126,1
182,126,2
183,126,1
184,126,0
185,126,1
186,126,1
187,126,0
188,126,2
189,126,3
190,126,0
191,126,0
192,126,2
193,126,0
194,126,0
195,126,0
196,126,1
197,126,0
198,126,0
123,127,6
124,127,0
125,127,0
126,127,0
127,127,0
128,127,5
129,127,0
130,127,0
131,127,2
132,127,0
133,127,0
134,127,2
135,127,0
136,127,2
137,127,0
138,127,0
139,127,1
140,127,1
141,127,1
142,127,0
143,127,3
144,127,5
145,127,4
146,127,4
147,127,7
148,127,9
149,127,1
150,127,9
151,127,3
152,127,2
153,127,2
154,127,4
155,127,0
156,127,8
157,127,2
158,127,4
159,127,1
160,127,8
161,127,4
162,127,0
163,127,6
164,127,3
165,127,14
166,127,1
167,127,1
168,127,1
169,127,8
170,127,0
171,127,5
172,127,1
173,127,4
174,127,7
175,127,0
176,127,3
177,127,5
178,127,6
179,127,0
180,127,1
181,127,4
182,127,0
183,127,5
184,127,0
185,127,3
186,127,2
187,127,0
188,127,2
189,127,0
190,127,2
191,127,0
192,127,0
193,127,1
194,127,0
195,127,0
196,127,1
197,127,0
198,127,0
102,128,0
103,128,0
104,128,0
105,128,1
106,128,0
107,128,0
108,128,0
109,128,0
110,128,1
111,128,0
112,128,0
113,128,0
114,128,0
115,128,0
116,128,0
117,128,0
118,128,0
119,128,0
120,128,0
121,128,2
122,128,0
123,128,0
124,128,0
125,128,0
126,128,0
127,128,0
128,128,0
129,128,0
130,128,0
131,128,0
132,128,0
133,128,4
134,128,1
135,128,0
136,128,1
137,128,0
138,128,7
139,128,0
140,128,0
141,128,2
142,128,6
143,128,1
144,128,0
145,128,6
146,128,8
147,128,3
148,128,3
149,128,5
150,128,3
151,128,13
152,128,3
153,128,7
154,128,7
155,128,6
156,128,7
157,128,10
158,128,14
159,128,4
160,128,0
161,128,5
162,128,3
163,128,3
164,128,2
165,128,1
166,128,9
167,128,7
168,128,9
169,128,9
170,128,5
171,128,1
172,128,3
173,128,4
174,128,2
175,128,2
176,128,4
177,128,10
178,128,3
179,128,4
180,128,1
181,128,5
182,128,12
183,128,1
184,128,0
185,128,7
186,128,1
187,128,1
188,128,0
189,128,0
190,128,5
191,128,1
192,128,1
193,128,1
194,128,0
195,128,0
196,128,0
197,128,0
198,128,1
102,129,0
103,129,1
104,129,0
105,129,0
106,129,0
107,129,0
108,129,6
109,129,0
110,129,0
111,129,0
112,129,0
113,129,0
114,129,1
115,129,2
116,129,-1
117,129,1
118,129,0
119,129,0
120,129,0
121,129,0
122,129,1
123,129,5
124,129,0
125,129,0
126,129,0
127,129,0
128,129,-1
129,129,4
130,129,0
131,129,1
132,129,1
133,129,0
134,129,0
135,129,0
136,129,1
137,129,0
138,129,2
139,129,1
140,129,0
141,129,2
142,129,1
143,129,1
144,129,8
145,129,3
146,129,2
147,129,3
148,129,5
149,129,10
150,129,13
151,129,6
152,129,5
153,129,4
154,129,8
155,129,8
156,129,3
157,129,4
158,129,2
159,129,4
160,129,10
161,129,3
162,129,11
163,129,7
164,129,2
165,129,13
166,129,8
167,129,6
168,129,6
169,129,4
170,129,2
171,129,6
172,129,11
173,129,7
174,129,3
175,129,8
176,129,3
177,129,11
178,129,5
179,129,15
180,129,15
181,129,17
182,129,2
183,129,7
184,129,6
185,129,3
186,129,5
187,129,4
188,129,9
189,129,1
190,129,1
191,129,0
192,129,1
193,129,1
194,129,0
195,129,1
196,129,0
197,129,0
198,129,1
102,130,0
103,130,0
104,130,0
105,130,1
106,130,0
107,130,0
108,130,0
109,130,1
110,130,0
111,130,0
112,130,0
113,130,0
114,130,0
115,130,1
116,130,0
117,130,0
118,130,1
119,130,4
120,130,0
121,130,0
122,130,0
123,130,0
124,130,0
125,130,0
126,130,2
127,130,0
128,130,-1
129,130,1
130,130,0
131,130,0
132,130,1
133,130,0
134,130,2
135,130,4
136,130,0
137,130,0
138,130,1
139,130,0
140,130,2
141,130,2
142,130,6
143,130,5
144,130,2
145,130,4
146,130,13
147,130,10
148,130,2
149,130,4
150,130,6
151,130,19
152,130,19
153,130,10
154,130,12
155,130,19
156,130,11
157,130,8
158,130,8
159,130,7
160,130,5
161,130,11
162,130,20
163,130,7
164,130,7
165,130,10
166,130,11
167,130,7
168,130,13
169,130,7
170,130,6
171,130,10
172,130,7
173,130,22
174,130,10
175,130,17
176,130,18
177,130,14
178,130,14
179,130,21
180,130,17
181,130,19
182,130,25
183,130,13
184,130,6
185,130,4
186,130,6
187,130,0
188,130,3
189,130,0
190,130,0
191,130,2
192,130,2
193,130,1
194,130,0
195,130,1
196,130,0
197,130,0
198,130,0
102,131,0
103,131,0
104,131,0
105,131,1
106,131,0
107,131,0
108,131,0
109,131,0
110,131,1
111,131,2
112,131,0
113,131,0
114,131,0
115,131,0
116,131,0
117,131,0
118,131,1
119,131,0
120,131,0
121,131,0
122,131,0
123,131,-1
124,131,0
125,131,0
126,131,1
127,131,0
128,131,0
129,131,0
130,131,2
131,131,0
132,131,2
133,131,0
134,131,1
135,131,1
136,131,1
137,131,0
138,131,1
139,131,3
140,131,4
141,131,4
142,131,5
143,131,13
144,131,21
145,131,8
146,131,17
147,131,16
148,131,17
149,131,25
150,131,20
151,131,24
152,131,32
153,131,28
154,131,21
155,131,26
156,131,28
157,131,20
158,131,15
159,131,14
160,131,10
161,131,14
162,131,22
163,131,13
164,131,14
165,131,16
166,131,10
167,131,17
168,131,23
169,131,20
170,131,14
171,131,24
172,131,19
173,131,23
174,131,32
175,131,24
176,131,29
177,131,36
178,131,46
179,131,43
180,131,44
181,131,32
182,131,13
183,131,15
184,131,22
185,131,4
186,131,4
187,131,8
188,131,3
189,131,2
190,131,1
191,131,3
192,131,2
193,131,0
194,131,0
195,131,0
196,131,0
197,131,1
198,131,0
102,132,2
103,132,1
104,132,0
105,132,0
106,132,0
107,132,0
108,132,0
109,132,0
110,132,0
111,132,0
112,132,0
113,132,0
114,132,0
115,132,0
116,132,0
