X,Y,Value
182,66,4.740
175,67,3.930
176,67,11.740
177,67,8.830
178,67,-0.190
179,67,0.880
180,67,-0.380
181,67,2.810
182,67,3.730
169,68,8.590
170,68,6.850
171,68,15.700
172,68,2.770
173,68,11.900
174,68,6.910
175,68,2.730
176,68,5.820
177,68,5.640
178,68,9.800
179,68,2.770
180,68,0.920
181,68,1.740
182,68,1.880
162,69,10.750
163,69,11.870
164,69,19.810
165,69,5.820
166,69,11.850
167,69,14.800
168,69,4.860
169,69,12.850
170,69,12.670
171,69,9.890
172,69,4.780
173,69,1.880
174,69,4.810
175,69,4.830
176,69,4.840
177,69,3.800
178,69,3.870
179,69,0.740
180,69,3.830
181,69,2.920
182,69,9.760
156,70,13.860
157,70,14.680
158,70,6.810
159,70,13.790
160,70,9.810
161,70,22.860
162,70,13.730
163,70,10.820
164,70,9.820
165,70,10.820
166,70,7.670
167,70,5.840
168,70,10.790
169,70,14.910
170,70,4.700
171,70,3.690
172,70,9.700
173,70,3.750
174,70,11.770
175,70,1.720
176,70,7.930
177,70,4.800
178,70,4.830
179,70,6.850
180,70,4.800
181,70,-0.120
182,70,3.860
183,70,2.650
149,71,15.800
150,71,18.800
151,71,15.800
152,71,8.890
153,71,7.790
154,71,6.790
155,71,9.830
156,71,15.800
157,71,6.820
158,71,19.900
159,71,20.960
160,71,7.810
161,71,13.700
162,71,8.880
163,71,13.830
164,71,19.890
165,71,8.860
166,71,22.790
167,71,9.840
168,71,9.700
169,71,14.770
170,71,24.900
171,71,10.800
172,71,10.900
173,71,5.750
174,71,18.760
175,71,10.900
176,71,12.700
177,71,5.930
178,71,6.820
179,71,0.870
180,71,7.860
181,71,0.740
182,71,6.800
183,71,0.860
143,72,7.810
144,72,9.790
145,72,24.820
146,72,18.870
147,72,15.890
148,72,16.800
149,72,8.860
150,72,22.710
151,72,10.950
152,72,11.720
153,72,23.830
154,72,34.840
155,72,14.650
156,72,15.790
157,72,27.910
158,72,21.780
159,72,18.710
160,72,10.760
161,72,20.800
162,72,15.680
163,72,19.900
164,72,21.840
165,72,9.850
166,72,18.760
167,72,13.860
168,72,10.790
169,72,11.770
170,72,11.800
171,72,11.740
172,72,26.900
173,72,4.870
174,72,11.860
175,72,10.830
176,72,9.840
177,72,11.870
178,72,1.620
179,72,6.840
180,72,7.840
181,72,3.770
182,72,3.700
183,72,-0.210
136,73,8.720
137,73,0.880
138,73,4.870
139,73,3.710
140,73,13.750
141,73,1.600
142,73,12.800
143,73,11.800
144,73,12.740
145,73,8.870
146,73,15.770
147,73,14.840
148,73,21.780
149,73,17.940
150,73,18.710
151,73,26.760
152,73,21.850
153,73,11.820
154,73,33.780
155,73,20.780
156,73,15.780
157,73,25.800
158,73,18.820
159,73,29.930
160,73,40.810
161,73,29.810
162,73,13.810
163,73,12.810
164,73,25.910
165,73,14.790
166,73,13.810
167,73,18.830
168,73,24.790
169,73,19.830
170,73,28.810
171,73,24.780
172,73,22.780
173,73,21.680
174,73,12.850
175,73,11.870
176,73,13.890
177,73,3.760
178,73,6.850
179,73,6.760
180,73,3.720
181,73,8.810
182,73,2.760
183,73,-0.320
130,74,0.680
131,74,0.820
132,74,-0.190
133,74,4.820
134,74,1.860
135,74,1.760
136,74,11.790
137,74,3.840
138,74,3.890
139,74,1.840
140,74,12.830
141,74,10.900
142,74,14.790
143,74,11.880
144,74,13.860
145,74,21.860
146,74,34.740
147,74,23.740
148,74,25.840
149,74,30.770
150,74,31.880
151,74,37.740
152,74,46.920
153,74,30.770
154,74,37.890
155,74,33.760
156,74,28.720
157,74,24.860
158,74,25.810
159,74,27.810
160,74,32.750
161,74,37.840
162,74,29.870
163,74,26.820
164,74,27.890
165,74,31.860
166,74,25.870
167,74,21.810
168,74,30.710
169,74,32.850
170,74,27.850
171,74,39.820
172,74,24.860
173,74,25.840
174,74,22.790
175,74,15.760
176,74,13.780
177,74,11.810
178,74,2.830
179,74,7.810
180,74,4.840
181,74,6.920
182,74,6.740
183,74,0.780
124,75,0.880
125,75,-0.190
126,75,-0.140
127,75,2.800
128,75,-0.190
129,75,2.850
130,75,2.780
131,75,0.750
132,75,11.760
133,75,1.850
134,75,15.750
135,75,1.820
136,75,10.810
137,75,13.740
138,75,0.740
139,75,8.880
140,75,14.810
141,75,23.680
142,75,26.830
143,75,21.790
144,75,27.740
145,75,37.840
146,75,11.850
147,75,20.820
148,75,25.810
149,75,25.860
150,75,25.840
151,75,36.930
152,75,32.920
153,75,49.810
154,75,39.930
155,75,47.780
156,75,39.710
157,75,38.820
158,75,29.760
159,75,43.810
160,75,41.850
161,75,36.850
162,75,38.700
163,75,24.830
164,75,29.760
165,75,28.840
166,75,40.770
167,75,37.710
168,75,54.810
169,75,50.710
170,75,38.880
171,75,46.900
172,75,44.750
173,75,29.780
174,75,30.840
175,75,27.790
176,75,9.810
177,75,12.790
178,75,9.920
179,75,10.820
180,75,1.780
181,75,1.780
182,75,3.840
183,75,3.780
124,76,1.800
125,76,0.890
126,76,-0.230
127,76,-0.230
128,76,1.790
129,76,-0.190
130,76,1.820
131,76,5.760
132,76,5.820
133,76,2.800
134,76,4.840
135,76,3.740
136,76,7.720
137,76,5.800
138,76,10.750
139,76,21.890
140,76,26.810
141,76,14.830
142,76,18.800
143,76,11.780
144,76,39.860
145,76,27.790
146,76,21.750
147,76,47.750
148,76,29.850
149,76,33.860
150,76,38.880
151,76,45.810
152,76,58.890
153,76,49.880
154,76,36.820
155,76,51.800
156,76,53.850
157,76,31.840
158,76,57.780
159,76,68.800
160,76,59.790
161,76,47.790
162,76,42.790
163,76,40.650
164,76,56.680
165,76,42.830
166,76,50.900
167,76,73.740
168,76,74.870
169,76,67.680
170,76,89.900
171,76,102.870
172,76,87.920
173,76,70.800
174,76,30.760
175,76,39.850
176,76,17.820
177,76,7.700
178,76,2.840
179,76,1.780
180,76,3.840
181,76,3.920
182,76,4.860
183,76,9.770
184,76,2.740
124,77,2.900
125,77,0.720
126,77,3.840
127,77,-0.210
128,77,0.870
129,77,6.830
130,77,3.860
131,77,0.920
132,77,2.810
133,77,5.770
134,77,0.700
135,77,2.790
136,77,5.830
137,77,12.860
138,77,8.680
139,77,12.780
140,77,14.810
141,77,17.860
142,77,19.820
143,77,13.770
144,77,35.660
145,77,41.850
146,77,46.820
147,77,64.760
148,77,38.810
149,77,76.900
150,77,48.820
151,77,53.770
152,77,85.770
153,77,75.870
154,77,85.870
155,77,58.710
156,77,83.780
157,77,115.840
158,77,87.820
159,77,79.850
160,77,71.710
161,77,79.890
162,77,57.810
163,77,76.770
164,77,94.900
165,77,122.790
166,77,124.890
167,77,107.840
168,77,140.740
169,77,132.910
170,77,132.710
171,77,113.900
172,77,112.810
173,77,83.830
174,77,43.880
175,77,41.800
176,77,39.830
177,77,20.870
178,77,20.790
179,77,7.820
180,77,13.800
181,77,6.820
182,77,4.830
183,77,3.830
184,77,3.760
124,78,1.920
125,78,-0.260
126,78,-0.090
127,78,2.830
128,78,1.800
129,78,0.820
130,78,1.840
131,78,0.730
132,78,14.780
133,78,11.890
134,78,2.870
135,78,3.900
136,78,10.890
137,78,10.850
138,78,10.870
139,78,16.820
140,78,22.860
141,78,8.880
142,78,37.750
143,78,30.890
144,78,41.920
145,78,64.910
146,78,76.780
147,78,72.860
148,78,95.930
149,78,98.820
150,78,107.700
151,78,111.660
152,78,153.830
153,78,138.780
154,78,127.800
155,78,127.590
156,78,169.860
157,78,157.770
158,78,122.870
159,78,132.740
160,78,115.790
161,78,142.760
162,78,99.810
163,78,125.860
164,78,134.830
165,78,135.840
166,78,186.900
167,78,173.790
168,78,163.850
169,78,133.690
170,78,155.750
171,78,126.890
172,78,122.940
173,78,115.710
174,78,74.770
175,78,46.800
176,78,27.620
177,78,22.690
178,78,17.810
179,78,11.830
180,78,5.810
181,78,9.720
182,78,7.960
183,78,11.810
184,78,3.790
124,79,-0.130
125,79,1.780
126,79,1.790
127,79,1.630
128,79,1.780
129,79,3.780
130,79,6.570
131,79,6.930
132,79,2.770
133,79,1.850
134,79,5.850
135,79,6.720
136,79,6.880
137,79,4.840
138,79,19.840
139,79,14.870
140,79,20.790
141,79,22.530
142,79,46.860
143,79,66.850
144,79,58.900
145,79,135.780
146,79,108.900
147,79,153.800
148,79,192.840
149,79,129.900
150,79,170.770
151,79,208.800
152,79,220.770
153,79,167.780
154,79,191.840
155,79,174.920
156,79,152.920
157,79,170.820
158,79,203.750
159,79,182.850
160,79,188.870
161,79,226.800
162,79,156.860
163,79,158.790
164,79,154.850
165,79,173.790
166,79,198.790
167,79,202.830
168,79,164.740
169,79,166.760
170,79,178.620
171,79,131.720
172,79,130.810
173,79,68.790
174,79,57.790
175,79,30.720
176,79,23.860
177,79,21.660
178,79,11.860
179,79,20.820
180,79,5.700
181,79,1.770
182,79,5.730
183,79,1.860
184,79,5.840
124,80,1.770
125,80,0.780
126,80,1.630
127,80,0.760
128,80,-0.350
129,80,1.850
130,80,1.860
131,80,-0.200
132,80,1.740
133,80,9.750
134,80,4.820
135,80,9.740
136,80,5.810
137,80,13.720
138,80,25.910
139,80,23.750
140,80,17.890
141,80,60.810
142,80,50.890
143,80,66.810
144,80,115.720
145,80,156.820
146,80,234.860
147,80,248.800
148,80,277.700
149,80,194.910
150,80,207.860
151,80,229.720
152,80,251.800
153,80,237.800
154,80,144.720
155,80,199.840
156,80,227.830
157,80,195.890
158,80,183.920
159,80,243.850
160,80,229.860
161,80,190.850
162,80,150.890
163,80,170.850
164,80,164.840
165,80,150.900
166,80,160.810
167,80,156.780
168,80,164.890
169,80,153.820
170,80,137.890
171,80,92.710
172,80,63.820
173,80,55.780
174,80,49.810
175,80,16.890
176,80,16.810
177,80,23.910
178,80,15.870
179,80,11.840
180,80,8.790
181,80,7.790
182,80,5.700
183,80,4.850
184,80,5.630
125,81,2.720
126,81,3.730
127,81,0.810
128,81,2.830
129,81,-0.200
130,81,13.790
131,81,0.830
132,81,5.860
133,81,18.770
134,81,3.900
135,81,12.810
136,81,13.820
137,81,14.850
138,81,27.870
139,81,26.820
140,81,29.690
141,81,30.840
142,81,78.710
143,81,132.770
144,81,185.730
145,81,237.870
146,81,268.930
147,81,276.960
148,81,249.760
149,81,254.840
150,81,259.840
151,81,281.870
152,81,243.820
153,81,162.840
154,81,169.840
155,81,124.860
156,81,195.760
157,81,183.920
158,81,228.800
159,81,191.880
160,81,193.780
161,81,195.720
162,81,162.730
163,81,109.740
164,81,130.740
165,81,97.820
166,81,125.770
