X,Y,Value
179,226,1.680
180,226,0.820
181,226,2.810
182,226,-1.350
183,226,-0.370
184,226,-0.270
185,226,2.700
186,226,-0.200
163,227,0.800
164,227,1.600
165,227,6.780
166,227,3.670
167,227,1.700
168,227,-0.350
169,227,-0.170
170,227,0.620
171,227,-0.230
172,227,3.900
173,227,0.700
174,227,-0.310
175,227,0.800
176,227,5.630
177,227,-0.330
178,227,1.730
179,227,-0.210
180,227,-0.260
181,227,-0.290
182,227,1.580
183,227,-0.310
184,227,-0.210
185,227,0.680
186,227,-0.210
147,228,0.790
148,228,0.720
149,228,-0.280
150,228,2.790
151,228,0.680
152,228,0.740
153,228,2.620
154,228,0.710
155,228,5.830
156,228,0.730
157,228,4.750
158,228,2.850
159,228,2.750
160,228,0.770
161,228,-0.290
162,228,1.750
163,228,0.860
164,228,1.650
165,228,1.830
166,228,-0.430
167,228,-0.320
168,228,1.880
169,228,2.730
170,228,0.810
171,228,2.640
172,228,1.730
173,228,-0.250
174,228,1.600
175,228,-0.120
176,228,0.720
177,228,0.640
178,228,0.660
179,228,0.610
180,228,-0.240
181,228,0.830
182,228,1.600
183,228,-0.220
184,228,-0.230
185,228,-0.240
186,228,-0.270
131,229,-0.280
132,229,-0.250
133,229,-0.320
134,229,-0.290
135,229,-0.390
136,229,-0.220
137,229,0.820
138,229,-0.270
139,229,2.640
140,229,0.650
141,229,1.640
142,229,-0.300
143,229,0.740
144,229,0.770
145,229,0.750
146,229,4.820
147,229,3.620
148,229,4.690
149,229,0.530
150,229,2.690
151,229,3.840
152,229,2.770
153,229,1.790
154,229,7.800
155,229,3.630
156,229,3.820
157,229,8.690
158,229,1.850
159,229,0.700
160,229,5.590
161,229,-0.100
162,229,0.710
163,229,0.690
164,229,-0.390
165,229,0.630
166,229,0.570
167,229,2.810
168,229,2.750
169,229,1.760
170,229,2.720
171,229,0.720
172,229,0.690
173,229,-0.180
174,229,2.790
175,229,-0.160
176,229,1.850
177,229,-0.170
178,229,-0.190
179,229,0.730
180,229,-0.280
181,229,-0.210
182,229,0.640
183,229,-0.220
184,229,-0.200
185,229,-0.220
186,229,-0.360
122,230,-0.200
123,230,-0.400
124,230,-0.220
125,230,-0.190
126,230,-0.330
127,230,-0.400
128,230,0.730
129,230,-0.190
130,230,-0.330
131,230,-0.270
132,230,-0.410
133,230,0.770
134,230,-0.100
135,230,-0.320
136,230,-0.390
137,230,-0.230
138,230,3.570
139,230,1.720
140,230,-0.220
141,230,-0.190
142,230,4.690
143,230,0.690
144,230,-0.320
145,230,0.690
146,230,1.660
147,230,2.560
148,230,2.640
149,230,1.720
150,230,8.820
151,230,-0.240
152,230,3.750
153,230,2.630
154,230,5.770
155,230,2.680
156,230,1.800
157,230,2.670
158,230,0.710
159,230,4.760
160,230,3.750
161,230,1.710
162,230,-0.370
163,230,2.700
164,230,-0.210
165,230,3.790
166,230,3.730
167,230,-0.270
168,230,2.680
169,230,0.760
170,230,5.630
171,230,1.740
172,230,3.790
173,230,3.760
174,230,0.720
175,230,0.710
176,230,-0.240
177,230,1.810
178,230,0.780
179,230,1.700
180,230,-0.240
181,230,1.660
182,230,-0.370
183,230,0.820
184,230,0.710
185,230,1.760
186,230,0.650
122,231,0.690
123,231,-1.430
124,231,-0.280
125,231,-0.340
126,231,-0.300
127,231,-0.250
128,231,-1.230
129,231,-0.180
130,231,-0.200
131,231,1.750
132,231,-0.360
133,231,-0.240
134,231,1.700
135,231,1.540
136,231,-0.310
137,231,-0.140
138,231,2.720
139,231,0.690
140,231,0.770
141,231,4.710
142,231,6.780
143,231,-0.340
144,231,3.630
145,231,2.600
146,231,0.660
147,231,3.720
148,231,1.680
149,231,4.810
150,231,1.750
151,231,1.680
152,231,1.760
153,231,0.690
154,231,10.830
155,231,1.750
156,231,6.810
157,231,2.830
158,231,11.670
159,231,1.840
160,231,5.740
161,231,9.670
162,231,6.770
163,231,3.810
164,231,2.880
165,231,3.630
166,231,6.910
167,231,1.820
168,231,10.640
169,231,7.760
170,231,2.500
171,231,3.620
172,231,2.700
173,231,5.780
174,231,5.820
175,231,2.780
176,231,1.800
177,231,1.750
178,231,-0.160
179,231,1.710
180,231,-0.270
181,231,-0.200
182,231,2.800
183,231,-0.190
184,231,-0.310
185,231,3.720
186,231,-0.160
122,232,-0.320
123,232,-0.320
124,232,-0.200
125,232,-0.310
126,232,1.710
127,232,-0.370
128,232,-0.320
129,232,3.650
130,232,0.580
131,232,-0.380
132,232,3.760
133,232,0.680
134,232,-0.270
135,232,-0.340
136,232,-0.180
137,232,2.730
138,232,-0.320
139,232,0.600
140,232,-0.260
141,232,-0.270
142,232,8.690
143,232,3.850
144,232,6.510
145,232,3.710
146,232,0.830
147,232,4.730
148,232,13.550
149,232,0.730
150,232,1.620
151,232,7.650
152,232,1.670
153,232,8.680
154,232,1.740
155,232,8.720
156,232,1.870
157,232,7.660
158,232,2.610
159,232,3.820
160,232,2.690
161,232,4.590
162,232,8.750
163,232,8.800
164,232,6.720
165,232,3.790
166,232,5.900
167,232,2.810
168,232,4.790
169,232,5.750
170,232,3.820
171,232,4.480
172,232,2.750
173,232,7.610
174,232,3.680
175,232,9.840
176,232,3.740
177,232,-0.160
178,232,0.720
179,232,1.700
180,232,0.740
181,232,-0.240
182,232,6.820
183,232,-0.140
184,232,-0.320
185,232,0.600
186,232,-0.130
122,233,-0.200
123,233,-0.290
124,233,-0.180
125,233,0.630
126,233,-0.330
127,233,-0.570
128,233,0.850
129,233,-0.300
130,233,1.680
131,233,-0.510
132,233,2.650
133,233,-0.300
134,233,0.730
135,233,4.650
136,233,-0.480
137,233,4.750
138,233,1.820
139,233,1.740
140,233,7.670
141,233,4.600
142,233,0.830
143,233,9.720
144,233,6.670
145,233,1.630
146,233,10.710
147,233,19.820
148,233,9.740
149,233,5.680
150,233,9.720
151,233,4.840
152,233,6.810
153,233,8.830
154,233,3.800
155,233,3.710
156,233,10.800
157,233,8.670
158,233,5.710
159,233,8.800
160,233,9.690
161,233,3.800
162,233,9.750
163,233,4.800
164,233,6.710
165,233,5.770
166,233,7.710
167,233,4.750
168,233,9.790
169,233,5.720
170,233,15.860
171,233,14.870
172,233,4.730
173,233,13.670
174,233,3.750
175,233,5.790
176,233,1.780
177,233,-0.250
178,233,2.860
179,233,3.780
180,233,-0.260
181,233,-0.170
182,233,1.520
183,233,1.820
184,233,-0.450
185,233,0.810
186,233,-0.240
187,233,-0.340
122,234,-0.240
123,234,-0.220
124,234,0.750
125,234,1.690
126,234,4.720
127,234,-0.560
128,234,-0.180
129,234,-0.280
130,234,0.710
131,234,2.600
132,234,5.640
133,234,2.760
134,234,-0.270
135,234,-0.210
136,234,-0.180
137,234,1.710
138,234,4.670
139,234,1.800
140,234,11.700
141,234,6.770
142,234,7.570
143,234,16.780
144,234,36.670
145,234,25.790
146,234,7.750
147,234,17.820
148,234,15.780
149,234,9.630
150,234,5.650
151,234,11.810
152,234,12.770
153,234,20.820
154,234,5.570
155,234,33.660
156,234,12.730
157,234,20.780
158,234,22.670
159,234,17.750
160,234,18.660
161,234,5.650
162,234,2.730
163,234,10.720
164,234,11.720
165,234,3.880
166,234,4.730
167,234,4.680
168,234,19.700
169,234,22.860
170,234,8.690
171,234,21.650
172,234,19.610
173,234,20.760
174,234,7.780
175,234,9.580
176,234,4.720
177,234,5.850
178,234,1.720
179,234,2.550
180,234,0.840
181,234,0.620
182,234,-0.310
183,234,0.840
184,234,1.790
185,234,0.800
186,234,-0.290
187,234,-0.190
122,235,-0.190
123,235,-0.200
124,235,1.650
125,235,-0.400
126,235,-0.240
127,235,-0.250
128,235,-0.310
129,235,-0.330
130,235,2.710
131,235,2.740
132,235,-0.240
133,235,0.630
134,235,-0.370
135,235,2.720
136,235,1.770
137,235,6.800
138,235,2.680
139,235,2.680
140,235,-0.330
141,235,2.680
142,235,16.780
143,235,20.770
144,235,15.590
145,235,18.560
146,235,24.690
147,235,20.650
148,235,17.750
149,235,17.720
150,235,19.680
151,235,19.640
152,235,39.850
153,235,14.820
154,235,21.870
155,235,14.700
156,235,13.760
157,235,27.760
158,235,22.690
159,235,15.760
160,235,22.740
161,235,20.830
162,235,15.720
163,235,10.680
164,235,13.690
165,235,9.670
166,235,18.700
167,235,18.660
168,235,28.600
169,235,19.640
170,235,27.810
171,235,20.820
172,235,14.640
173,235,12.800
174,235,8.790
175,235,9.850
176,235,7.790
177,235,4.730
178,235,7.840
179,235,1.730
180,235,-0.170
181,235,-0.330
182,235,0.730
183,235,0.730
184,235,1.790
185,235,0.650
186,235,1.900
187,235,-0.250
122,236,-0.200
123,236,-0.440
124,236,-0.430
125,236,-0.380
126,236,-0.330
127,236,-0.410
128,236,-0.340
129,236,3.700
130,236,0.670
131,236,7.680
132,236,2.750
133,236,-0.220
134,236,-0.300
135,236,1.770
136,236,1.650
137,236,1.760
138,236,2.680
139,236,13.630
140,236,5.720
141,236,13.820
142,236,12.750
143,236,13.700
144,236,21.630
145,236,11.770
146,236,25.830
147,236,19.730
148,236,18.710
149,236,15.640
150,236,30.750
151,236,29.760
152,236,29.590
153,236,16.770
154,236,18.680
155,236,15.700
156,236,17.700
157,236,6.730
158,236,19.600
159,236,22.800
160,236,18.700
161,236,20.750
162,236,15.700
163,236,16.750
164,236,15.810
165,236,9.590
166,236,10.650
167,236,20.670
168,236,11.640
169,236,26.710
170,236,11.810
171,236,14.770
172,236,20.760
173,236,13.830
174,236,5.830
175,236,5.750
176,236,0.760
177,236,3.580
178,236,2.860
179,236,-0.200
180,236,-0.380
181,236,1.690
182,236,-0.370
183,236,1.890
184,236,-0.350
185,236,0.850
186,236,0.700
187,236,-0.300
122,237,3.740
123,237,-0.210
124,237,-0.350
125,237,-0.280
126,237,1.740
127,237,-0.350
128,237,1.760
129,237,-1.310
130,237,0.660
131,237,-0.320
132,237,0.740
133,237,0.830
134,237,-0.300
135,237,3.560
136,237,2.670
137,237,1.770
138,237,3.580
139,237,9.760
140,237,11.730
141,237,10.770
142,237,19.810
143,237,23.690
144,237,18.620
145,237,28.790
146,237,17.810
147,237,47.630
148,237,26.680
149,237,23.650
150,237,29.800
151,237,26.870
152,237,21.730
153,237,13.730
154,237,15.580
155,237,19.820
156,237,16.680
157,237,12.520
158,237,13.610
159,237,26.720
160,237,21.780
161,237,26.670
162,237,11.610
163,237,12.760
164,237,13.740
165,237,7.730
166,237,6.800
167,237,13.700
168,237,12.610
169,237,13.750
170,237,23.630
171,237,9.790
172,237,5.760
173,237,4.590
174,237,1.740
175,237,4.830
176,237,2.790
177,237,0.710
178,237,2.770
179,237,2.780
180,237,-0.300
181,237,0.720
182,237,2.750
183,237,2.770
184,237,-0.210
185,237,2.730
186,237,-0.230
187,237,-0.230
122,238,-0.370
123,238,-0.390
124,238,-0.370
125,238,2.620
126,238,0.700
127,238,0.640
128,238,3.740
129,238,-0.310
130,238,-0.330
131,238,-0.270
132,238,-0.350
133,238,-0.250
134,238,0.830
135,238,-0.140
136,238,0.650
137,238,-0.330
138,238,5.670
139,238,13.520
140,238,6.720
141,238,10.750
142,238,19.570
143,238,11.820
144,238,41.710
145,238,33.710
146,238,21.670
147,238,33.700
148,238,25.680
149,238,14.710
150,238,32.790
151,238,12.740
152,238,25.670
153,238,12.750
154,238,14.720
155,238,10.560
156,238,8.740
157,238,6.870
158,238,16.660
159,238,13.740
160,238,10.680
161,238,8.660
162,238,14.620
163,238,9.740
164,238,15.780
165,238,6.720
166,238,7.680
167,238,3.700
168,238,11.600
169,238,4.750
170,238,3.880
171,238,4.820
172,238,14.790
173,238,11.600
174,238,4.660
175,238,7.850
176,238,3.690
177,238,2.890
178,238,1.680
179,238,-0.270
180,238,2.670
181,238,-0.360
182,238,1.700
183,238,-0.170
184,238,0.560
185,238,-0.260
186,238,-0.280
187,238,-0.170
122,239,2.470
123,239,0.730
124,239,-0.310
125,239,-0.340
126,239,-0.210
127,239,-0.510
128,239,-0.190
129,239,0.770
130,239,-0.280
131,239,-0.300
132,239,2.750
133,239,-0.280
134,239,-0.230
135,239,6.700
136,239,0.830
137,239,14.800
138,239,10.740
139,239,12.680
140,239,11.570
141,239,12.720
142,239,10.760
143,239,7.750
144,239,29.750
145,239,43.680
146,239,15.730
147,239,12.690
148,239,11.660
149,239,11.730
150,239,5.630
151,239,13.830
152,239,11.760
153,239,17.620
154,239,13.730
155,239,5.760
156,239,19.740
157,239,10.820
158,239,4.760
159,239,4.740
160,239,7.850
161,239,16.810
162,239,9.590
163,239,4.840
164,239,5.740
165,239,6.860
166,239,6.710
167,239,3.780
168,239,6.760
169,239,7.780
170,239,5.520
171,239,2.780
172,239,10.780
173,239,2.730
174,239,3.670
175,239,-0.180
176,239,-0.290
177,239,0.830
178,239,4.790
179,239,1.760
180,239,1.880
181,239,-0.160
182,239,-0.320
183,239,-0.240
184,239,-0.330
185,239,-0.240
186,239,-0.150
187,239,0.730
122,240,0.740
123,240,-0.320
124,240,-0.280
125,240,2.790
126,240,-0.250
127,240,3.770
128,240,-0.250
129,240,-0.370
130,240,3.510
131,240,-0.400
132,240,0.720
133,240,-0.200
134,240,1.650
135,240,-0.390
136,240,2.810
137,240,0.750
138,240,2.780
139,240,6.750
140,240,9.890
141,240,5.710
142,240,17.690
143,240,14.810
144,240,20.720
145,240,18.760
146,240,4.790
147,240,1.600
148,240,11.640
149,240,1.680
150,240,8.580
151,240,4.790
152,240,20.770
153,240,8.700
154,240,4.660
155,240,10.590
156,240,11.680
157,240,10.800
158,240,3.790
159,240,4.830
160,240,5.770
161,240,1.740
162,240,4.760
163,240,3.570
164,240,1.680
165,240,0.570
166,240,3.780
167,240,4.790
168,240,4.510
169,240,1.610
170,240,-0.240
171,240,7.550
172,240,0.740
173,240,5.760
174,240,2.590
175,240,5.770
176,240,5.780
177,240,1.800
178,240,0.570
179,240,-0.180
180,240,0.780
181,240,2.630
182,240,-0.190
183,240,0.750
184,240,-0.220
185,240,-0.280
186,240,-0.200
187,240,-0.170
122,241,0.660
123,241,3.940
124,241,-0.230
125,241,4.720
126,241,0.650
127,241,-0.350
128,241,-0.310
129,241,-0.270
130,241,4.690
131,241,1.760
132,241,-0.380
133,241,-0.330
134,241,2.470
135,241,5.830
136,241,3.780
137,241,6.700
138,241,1.700
139,241,0.880
140,241,7.750
141,241,3.660
142,241,8.680
143,241,10.800
144,241,12.680
145,241,1.660
146,241,6.720
147,241,11.840
148,241,4.680
149,241,7.810
150,241,6.790
151,241,5.680
152,241,4.550
153,241,4.720
154,241,4.700
155,241,4.790
156,241,3.720
157,241,0.630
158,241,2.670
159,241,8.790
160,241,1.770
161,241,4.660
162,241,14.730
163,241,0.830
164,241,4.610
165,241,7.740
166,241,1.680
167,241,1.610
