X,Y,Value
171,124,-0.150
172,124,5.830
173,124,5.880
174,124,6.600
175,124,1.820
176,124,-0.250
177,124,-0.100
178,124,1.820
179,124,4.750
180,124,-0.190
181,124,0.590
182,124,-0.230
183,124,0.870
184,124,1.750
185,124,0.790
186,124,0.670
187,124,2.860
188,124,-0.180
189,124,-0.200
190,124,0.800
191,124,-0.340
192,124,-0.120
193,124,-0.290
194,124,-0.210
195,124,0.790
196,124,-0.250
197,124,-0.200
198,124,-0.190
199,124,-0.140
200,124,-0.210
201,124,-0.230
202,124,-0.190
203,124,-0.210
204,124,-0.320
205,124,-0.450
206,124,0.650
122,125,0.820
123,125,-0.280
124,125,-0.120
125,125,-0.270
126,125,2.860
127,125,1.740
128,125,2.790
129,125,0.850
130,125,0.790
131,125,3.840
132,125,0.920
133,125,2.790
134,125,-0.230
135,125,0.800
136,125,0.780
137,125,-0.110
138,125,6.830
139,125,1.750
140,125,0.890
141,125,7.820
142,125,5.690
143,125,2.810
144,125,2.700
145,125,2.660
146,125,4.660
147,125,9.790
148,125,4.660
149,125,4.710
150,125,0.880
151,125,7.680
152,125,0.760
153,125,7.810
154,125,8.800
155,125,6.800
156,125,4.890
157,125,9.850
158,125,5.900
159,125,2.690
160,125,4.960
161,125,0.760
162,125,1.830
163,125,1.800
164,125,4.810
165,125,-0.170
166,125,2.770
167,125,2.850
168,125,0.870
169,125,-0.270
170,125,-0.150
171,125,1.820
172,125,0.770
173,125,2.800
174,125,0.710
175,125,-0.300
176,125,5.830
177,125,0.790
178,125,0.820
179,125,-0.160
180,125,-0.220
181,125,-0.110
182,125,0.870
183,125,1.830
184,125,-0.290
185,125,-0.260
186,125,-0.160
187,125,-0.350
188,125,-0.150
189,125,-0.170
190,125,-0.220
191,125,-1.220
192,125,0.820
193,125,-0.320
194,125,-0.150
195,125,-0.330
196,125,0.850
197,125,-0.140
198,125,-0.210
199,125,-0.130
200,125,-0.210
201,125,-0.160
202,125,-0.260
203,125,-0.210
204,125,-0.320
205,125,-0.310
206,125,-0.160
86,126,-0.260
87,126,0.620
88,126,-0.270
89,126,-0.200
90,126,0.800
91,126,-0.320
92,126,-0.390
93,126,0.810
94,126,-0.270
95,126,0.810
96,126,-0.170
97,126,-0.260
98,126,-0.110
99,126,-0.330
100,126,-0.200
101,126,-0.250
102,126,-0.280
103,126,0.890
104,126,0.850
105,126,-0.180
106,126,-0.150
107,126,-0.220
108,126,-0.260
109,126,1.760
110,126,0.850
111,126,0.790
112,126,-0.290
113,126,0.830
114,126,0.770
115,126,0.820
116,126,-0.220
117,126,-0.160
118,126,-0.220
119,126,-0.190
120,126,-0.260
121,126,-0.270
122,126,0.730
123,126,-0.180
124,126,0.810
125,126,3.730
126,126,0.750
127,126,-0.250
128,126,-0.280
129,126,0.800
130,126,-0.270
131,126,0.860
132,126,2.870
133,126,-0.220
134,126,1.720
135,126,0.790
136,126,0.740
137,126,-0.210
138,126,-0.220
139,126,2.750
140,126,6.690
141,126,3.770
142,126,3.770
143,126,5.700
144,126,1.830
145,126,1.840
146,126,1.840
147,126,4.850
148,126,2.780
149,126,6.820
150,126,0.750
151,126,9.780
152,126,2.890
153,126,0.920
154,126,2.730
155,126,8.890
156,126,5.850
157,126,3.830
158,126,3.730
159,126,12.830
160,126,3.870
161,126,1.780
162,126,2.730
163,126,6.670
164,126,3.880
165,126,1.860
166,126,4.760
167,126,2.730
168,126,0.840
169,126,0.790
170,126,0.770
171,126,1.820
172,126,2.790
173,126,1.750
174,126,1.740
175,126,2.780
176,126,4.800
177,126,1.770
178,126,0.800
179,126,0.760
180,126,2.780
181,126,3.960
182,126,-0.260
183,126,6.720
184,126,1.710
185,126,-0.180
186,126,-0.180
187,126,-0.200
188,126,-0.260
189,126,-0.220
190,126,-0.230
191,126,-0.170
192,126,-0.130
193,126,-0.260
194,126,1.830
195,126,-0.260
196,126,0.810
197,126,-0.150
198,126,0.830
199,126,0.790
200,126,0.820
201,126,-0.170
202,126,-0.310
203,126,6.670
204,126,-0.170
205,126,1.760
206,126,-0.170
86,127,-0.270
87,127,-0.210
88,127,-0.230
89,127,-0.160
90,127,-0.170
91,127,-0.230
92,127,-0.250
93,127,-0.290
94,127,0.670
95,127,-0.300
96,127,-0.370
97,127,1.730
98,127,1.770
99,127,-0.190
100,127,-0.270
101,127,-0.080
102,127,-0.200
103,127,-0.170
104,127,-0.320
105,127,-0.130
106,127,0.740
107,127,-0.080
108,127,-0.230
109,127,0.890
110,127,0.800
111,127,1.890
112,127,-0.220
113,127,0.770
114,127,-0.230
115,127,-0.340
116,127,-0.140
117,127,-0.200
118,127,-0.190
119,127,-0.090
120,127,-0.260
121,127,-0.220
122,127,2.800
123,127,0.650
124,127,0.860
125,127,1.790
126,127,-0.140
127,127,-0.220
128,127,3.720
129,127,0.820
130,127,0.760
131,127,-0.340
132,127,1.610
133,127,2.830
134,127,1.800
