X,Y
0.0,0.0
0.8733624454148472,0.0
1.7467248908296944,0.0
2.6200873362445414,0.0
3.493449781659389,0.0
4.366812227074236,0.0
5.240174672489083,0.0
6.11353711790393,0.0
6.986899563318778,0.0
7.860262008733625,0.0
8.733624454148472,0.0
9.606986899563319,0.0
10.480349344978166,0.0
11.353711790393014,0.0
12.22707423580786,0.0
13.100436681222709,0.0
13.973799126637555,0.0
14.847161572052402,0.0
15.72052401746725,0.0
16.593886462882097,0.0
17.467248908296945,0.0
18.34061135371179,0.0
19.213973799126638,0.0
20.087336244541486,0.0
20.96069868995633,0.0
21.83406113537118,0.0
22.707423580786028,0.0
23.580786026200876,0.0
24.45414847161572,0.0
25.32751091703057,0.0
26.200873362445417,0.0
27.074235807860262,0.0
27.94759825327511,0.0
28.82096069868996,0.0
29.694323144104803,0.0
30.56768558951965,0.0
31.4410480349345,0.0
32.314410480349345,0.0
33.18777292576419,0.0
34.06113537117904,0.0
34.93449781659389,0.0
35.80786026200874,0.0
36.68122270742358,0.0
37.55458515283843,0.0
38.427947598253276,0.0
39.301310043668124,0.0
40.17467248908297,0.0
41.04803493449782,0.0
41.92139737991266,0.0
42.79475982532751,0.0
43.66812227074236,0.0
44.54148471615721,0.0
45.414847161572055,0.0
46.288209606986904,0.0
47.16157205240175,0.0
48.03493449781659,0.0
48.90829694323144,0.0
49.78165938864629,0.0
50.65502183406114,0.0
51.528384279475986,0.0
52.401746724890835,0.0
53.275109170305676,0.0
54.148471615720524,0.0
55.02183406113537,0.0
55.89519650655022,0.0
56.76855895196507,0.0
57.64192139737992,0.0
58.515283842794766,0.0
59.38864628820961,0.0
60.262008733624455,0.0
61.1353711790393,0.0
62.00873362445415,0.0
62.882096069869,0.0
63.75545851528385,0.0
64.62882096069869,0.0
65.50218340611355,0.0
66.37554585152839,0.0
67.24890829694323,0.0
68.12227074235808,0.0
68.99563318777292,0.0
69.86899563318778,0.0
70.74235807860262,0.0
71.61572052401748,0.0
72.48908296943232,0.0
73.36244541484716,0.0
74.23580786026201,0.0
75.10917030567686,0.0
75.98253275109171,0.0
76.85589519650655,0.0
77.72925764192141,0.0
78.60262008733625,0.0
79.47598253275109,0.0
80.34934497816595,0.0
81.22270742358079,0.0
82.09606986899564,0.0
82.96943231441048,0.0
83.84279475982532,0.0
84.71615720524018,0.0
85.58951965065502,0.0
86.46288209606988,0.0
87.33624454148472,0.0
88.20960698689957,0.0
89.08296943231441,0.0
89.95633187772926,0.0
90.82969432314411,0.0
91.70305676855895,0.0
92.57641921397381,0.0
93.44978165938865,0.0
94.3231441048035,0.0
95.19650655021834,0.0
96.06986899563319,0.0
96.94323144104804,0.0
97.81659388646288,0.0
98.68995633187774,0.0
99.56331877729258,0.0
100.43668122270743,0.0
101.31004366812228,0.0
102.18340611353712,0.0
103.05676855895197,0.0
103.93013100436681,0.0
104.80349344978167,0.0
105.67685589519651,0.0
106.55021834061135,0.0
107.4235807860262,0.0
108.29694323144105,0.0
109.1703056768559,0.0
110.04366812227074,0.0
110.9170305676856,0.0
111.79039301310044,0.0
112.66375545851528,0.0
113.53711790393014,0.0
114.41048034934498,0.0
115.28384279475983,0.0
116.15720524017468,0.0
117.03056768558953,0.0
117.90393013100437,0.0
118.77729257641921,0.0
119.65065502183407,0.0
120.52401746724891,0.0
121.39737991266377,0.0
122.2707423580786,0.0
123.14410480349345,0.0
124.0174672489083,0.0
124.89082969432314,0.0
125.764192139738,0.0
126.63755458515284,0.0
127.5109170305677,0.0
128.38427947598254,0.0
129.25764192139738,0.0
130.13100436681222,0.0
131.0043668122271,0.0
131.87772925764193,0.0
132.75109170305677,0.0
133.6244541484716,0.0
134.49781659388645,0.0
135.37117903930132,0.0
136.24454148471617,0.0
137.117903930131,0.0
137.99126637554585,0.0
138.86462882096072,0.0
139.73799126637556,0.0
140.6113537117904,0.0
141.48471615720524,0.0
142.35807860262008,0.0
143.23144104803495,0.0
144.1048034934498,0.0
144.97816593886463,0.0
145.85152838427948,0.0
146.72489082969432,0.0
147.5982532751092,0.0
148.47161572052403,0.0
149.34497816593887,0.024305873958064373
150.2183406113537,0.8287650252368646
151.09170305676855,10.619414630739097
151.96506550218342,54.37257424581999
152.83842794759826,125.83739626413372
153.7117903930131,167.4793246043889
154.58515283842794,174.18381564624374
155.45851528384281,171.709665662446
156.33187772925766,168.44032260114136
157.2052401746725,165.1462328157852
158.07860262008734,161.85214303042903
158.95196506550218,158.5580532450728
159.82532751091705,155.26396345971656
160.6986899563319,151.9698736743604
161.57205240174673,148.67578388900432
162.44541484716157,145.38169410364821
163.3187772925764,142.08760431829205
164.19213973799128,138.7935145329359
165.06550218340612,135.49942474757972
165.93886462882097,132.20533496222356
166.8122270742358,128.9112451768674
167.68558951965065,125.61715539151126
168.55895196506552,122.32306560615515
169.43231441048036,119.02897582079908
170.3056768558952,115.73488603544294
171.17903930131004,112.44079625008673
172.0524017467249,109.14670646473049
172.92576419213975,105.85261667937428
173.7991266375546,102.55852689401809
174.67248908296943,99.26443710866192
175.54585152838428,95.97034732330576
176.41921397379915,92.6762575379496
177.292576419214,89.38216775259343
178.16593886462883,86.08807796723727
179.03930131004367,82.78467121110242
179.9126637554585,79.1824865776178
180.78602620087338,72.14470231219718
181.65938864628822,52.1980256062594
182.53275109170306,22.120404452165566
183.4061135371179,4.284959021053523
184.27947598253277,0.3333333192803342
185.15283842794761,0.009757820872192928
186.02620087336246,0.0
186.8995633187773,0.0
187.77292576419214,0.0
188.646288209607,0.0
189.51965065502185,0.0
190.3930131004367,0.0
191.26637554585153,0.0
192.13973799126637,0.0
193.01310043668124,0.0
193.88646288209608,0.0
194.75982532751092,0.0
195.63318777292577,0.0
196.5065502183406,0.0
197.37991266375548,0.0
198.25327510917032,0.0
199.12663755458516,0.0
200.0,0.0
