X,Y,Value
139,124,1
140,124,4
141,124,1
142,124,1
143,124,4
144,124,0
145,124,1
146,124,4
147,124,5
148,124,14
149,124,17
150,124,22
151,124,16
152,124,22
153,124,32
154,124,16
139,125,3
140,125,0
141,125,1
142,125,2
143,125,2
144,125,6
145,125,9
146,125,10
147,125,16
148,125,15
149,125,17
150,125,28
151,125,30
152,125,28
153,125,48
154,125,40
155,125,54
156,125,31
157,125,37
158,125,29
159,125,23
160,125,22
161,125,33
162,125,43
163,125,15
164,125,15
165,125,15
166,125,20
167,125,20
168,125,24
169,125,21
170,125,21
171,125,16
139,126,2
140,126,5
141,126,3
142,126,4
143,126,8
144,126,3
145,126,5
146,126,15
147,126,10
148,126,19
149,126,34
150,126,49
151,126,61
152,126,60
153,126,76
154,126,72
155,126,62
156,126,67
157,126,61
158,126,79
159,126,54
160,126,34
161,126,19
162,126,59
163,126,35
164,126,39
165,126,16
166,126,33
167,126,39
168,126,25
169,126,22
170,126,24
171,126,31
172,126,13
173,126,35
174,126,37
175,126,16
176,126,34
177,126,14
178,126,23
179,126,14
180,126,36
181,126,23
182,126,26
183,126,12
184,126,5
185,126,4
186,126,7
187,126,3
188,126,2
139,127,4
140,127,2
141,127,2
142,127,5
143,127,4
144,127,3
145,127,9
146,127,6
147,127,5
148,127,17
149,127,32
150,127,49
151,127,101
152,127,98
153,127,170
154,127,129
155,127,176
156,127,121
157,127,108
158,127,94
159,127,72
160,127,81
161,127,61
162,127,67
163,127,70
164,127,48
165,127,51
166,127,31
167,127,33
168,127,41
169,127,30
170,127,46
171,127,18
172,127,34
173,127,34
174,127,34
175,127,41
176,127,25
177,127,42
178,127,37
179,127,35
180,127,37
181,127,16
182,127,31
183,127,20
184,127,22
185,127,3
186,127,9
187,127,2
188,127,4
189,127,11
190,127,6
191,127,3
192,127,4
193,127,1
194,127,2
195,127,4
139,128,4
140,128,1
141,128,5
142,128,2
143,128,5
144,128,5
145,128,3
146,128,11
147,128,33
148,128,29
149,128,43
150,128,86
151,128,163
152,128,178
153,128,267
154,128,284
155,128,267
156,128,262
157,128,226
158,128,224
159,128,165
160,128,161
161,128,130
162,128,111
163,128,103
164,128,93
165,128,83
166,128,77
167,128,64
168,128,73
