X,Y,Value
189,126,4
190,126,9
191,126,0
192,126,8
171,127,22
172,127,27
173,127,19
174,127,20
175,127,18
176,127,13
177,127,17
178,127,7
179,127,24
180,127,10
181,127,12
182,127,8
183,127,10
184,127,12
185,127,6
186,127,10
187,127,4
188,127,2
189,127,1
190,127,5
191,127,2
192,127,2
152,128,20
153,128,20
154,128,18
155,128,36
156,128,18
157,128,25
158,128,28
159,128,29
160,128,18
161,128,22
162,128,19
163,128,44
164,128,22
165,128,28
166,128,21
167,128,29
168,128,35
169,128,21
170,128,21
171,128,16
172,128,21
173,128,39
174,128,27
175,128,23
176,128,40
177,128,28
178,128,25
179,128,21
180,128,24
181,128,12
182,128,11
183,128,15
184,128,8
185,128,4
186,128,2
187,128,10
188,128,1
189,128,3
190,128,1
191,128,3
192,128,0
138,129,2
139,129,2
140,129,6
141,129,0
142,129,6
143,129,10
144,129,5
145,129,4
146,129,30
147,129,10
148,129,13
149,129,16
150,129,18
151,129,26
152,129,32
153,129,40
154,129,26
155,129,20
156,129,39
157,129,29
158,129,48
159,129,45
160,129,47
161,129,39
162,129,32
163,129,38
164,129,24
165,129,24
166,129,28
167,129,34
168,129,33
169,129,34
170,129,48
171,129,29
172,129,40
173,129,47
174,129,30
175,129,48
176,129,51
177,129,75
178,129,42
179,129,50
180,129,35
181,129,35
182,129,34
183,129,17
184,129,13
185,129,6
186,129,8
187,129,4
188,129,7
189,129,7
190,129,3
191,129,4
192,129,1
138,130,0
139,130,4
140,130,6
141,130,7
142,130,10
143,130,4
144,130,8
145,130,21
146,130,9
147,130,20
148,130,31
149,130,33
150,130,43
151,130,51
152,130,62
153,130,84
154,130,55
155,130,83
156,130,92
157,130,51
158,130,70
159,130,62
160,130,72
161,130,60
162,130,56
163,130,82
164,130,59
165,130,55
166,130,51
167,130,62
168,130,46
169,130,36
170,130,51
171,130,55
172,130,60
173,130,73
174,130,97
175,130,90
176,130,80
177,130,141
178,130,92
179,130,95
180,130,82
181,130,57
182,130,38
183,130,14
184,130,9
185,130,3
186,130,10
187,130,17
188,130,8
189,130,9
190,130,13
191,130,0
192,130,5
138,131,2
139,131,6
140,131,1
141,131,5
142,131,3
143,131,9
144,131,12
145,131,12
146,131,22
147,131,34
148,131,44
149,131,45
150,131,95
151,131,114
152,131,122
153,131,141
154,131,119
155,131,156
156,131,139
157,131,151
158,131,125
159,131,112
160,131,116
161,131,130
162,131,81
163,131,135
164,131,111
165,131,112
166,131,113
167,131,118
168,131,122
169,131,93
170,131,108
171,131,115
172,131,113
173,131,140
174,131,212
175,131,195
176,131,211
177,131,236
178,131,224
179,131,240
180,131,142
181,131,75
182,131,55
183,131,26
184,131,24
185,131,13
186,131,15
187,131,2
188,131,0
189,131,0
190,131,2
191,131,4
192,131,2
138,132,2
139,132,3
140,132,8
141,132,10
142,132,2
143,132,5
144,132,11
145,132,30
146,132,27
147,132,44
148,132,64
149,132,90
150,132,134
151,132,193
152,132,238
153,132,235
154,132,253
155,132,279
156,132,259
157,132,274
158,132,244
159,132,252
160,132,253
161,132,276
162,132,265
163,132,220
164,132,252
165,132,237
166,132,227
167,132,239
168,132,209
169,132,240
170,132,207
171,132,220
172,132,263
173,132,306
174,132,257
175,132,370
176,132,393
177,132,395
178,132,423
179,132,323
180,132,228
181,132,112
182,132,53
183,132,46
184,132,19
185,132,13
186,132,13
187,132,5
188,132,7
189,132,2
190,132,8
191,132,2
192,132,4
193,132,6
138,133,6
139,133,2
140,133,5
141,133,4
142,133,7
143,133,9
144,133,12
145,133,19
146,133,38
147,133,72
148,133,113
149,133,165
150,133,216
151,133,273
152,133,340
153,133,382
154,133,393
155,133,424
156,133,502
157,133,424
158,133,360
159,133,458
160,133,403
161,133,499
162,133,528
163,133,431
164,133,437
165,133,429
166,133,372
167,133,381
168,133,383
169,133,348
170,133,409
171,133,370
172,133,439
173,133,379
174,133,437
175,133,515
176,133,518
177,133,515
178,133,438
179,133,349
180,133,256
181,133,131
182,133,75
183,133,45
184,133,27
185,133,13
186,133,8
187,133,7
188,133,6
189,133,6
190,133,14
191,133,6
192,133,0
193,133,3
138,134,2
139,134,10
140,134,6
141,134,5
142,134,7
143,134,21
144,134,12
145,134,27
146,134,51
147,134,90
148,134,170
149,134,227
150,134,277
151,134,350
152,134,401
153,134,468
154,134,532
155,134,551
156,134,514
157,134,501
158,134,517
159,134,575
160,134,477
161,134,541
162,134,557
163,134,604
164,134,514
165,134,516
166,134,559
167,134,425
168,134,435
169,134,423
170,134,408
171,134,481
172,134,430
173,134,390
174,134,504
175,134,416
176,134,434
177,134,475
178,134,383
179,134,302
180,134,163
181,134,153
182,134,65
183,134,48
184,134,26
185,134,12
186,134,20
187,134,6
188,134,12
189,134,4
190,134,11
191,134,6
192,134,2
193,134,2
138,135,2
139,135,3
140,135,5
141,135,9
142,135,3
143,135,9
144,135,31
145,135,29
146,135,49
147,135,95
148,135,127
149,135,240
150,135,307
151,135,330
152,135,452
153,135,506
154,135,555
155,135,564
156,135,513
157,135,542
158,135,542
159,135,449
160,135,404
161,135,413
162,135,491
163,135,462
164,135,555
165,135,511
166,135,475
167,135,395
168,135,316
169,135,354
170,135,332
171,135,374
172,135,316
173,135,297
174,135,312
175,135,251
176,135,294
177,135,288
178,135,254
179,135,148
180,135,116
181,135,66
182,135,53
183,135,27
184,135,20
185,135,9
186,135,14
187,135,10
188,135,3
189,135,7
190,135,10
191,135,9
192,135,8
193,135,6
138,136,9
139,136,1
140,136,4
141,136,5
142,136,3
143,136,16
144,136,21
145,136,27
146,136,44
147,136,63
148,136,121
149,136,159
150,136,207
151,136,329
152,136,407
153,136,367
154,136,407
155,136,438
156,136,391
157,136,358
158,136,375
159,136,358
160,136,301
161,136,292
162,136,304
163,136,296
164,136,310
165,136,324
166,136,295
167,136,272
168,136,210
169,136,194
170,136,242
171,136,222
172,136,218
173,136,187
174,136,185
175,136,136
176,136,163
177,136,143
178,136,95
179,136,100
180,136,82
181,136,52
182,136,47
183,136,23
184,136,20
185,136,9
186,136,8
187,136,5
188,136,14
189,136,12
190,136,1
191,136,1
192,136,3
193,136,2
138,137,6
139,137,0
140,137,6
141,137,6
142,137,13
143,137,17
144,137,23
145,137,31
146,137,49
147,137,76
148,137,73
149,137,108
150,137,165
151,137,189
152,137,175
153,137,260
154,137,278
155,137,288
156,137,292
157,137,243
158,137,223
159,137,245
160,137,211
161,137,175
162,137,157
163,137,160
164,137,219
165,137,192
166,137,149
167,137,147
168,137,138
169,137,113
170,137,125
171,137,121
172,137,95
173,137,76
174,137,96
175,137,92
176,137,72
177,137,70
178,137,63
179,137,61
180,137,28
181,137,30
182,137,15
183,137,14
184,137,15
185,137,20
186,137,7
187,137,6
188,137,4
189,137,5
190,137,5
191,137,4
192,137,3
193,137,2
139,138,6
140,138,2
141,138,14
142,138,3
143,138,9
144,138,15
145,138,22
146,138,30
147,138,40
148,138,60
149,138,81
150,138,82
151,138,129
152,138,129
153,138,161
154,138,161
155,138,154
156,138,135
157,138,143
158,138,97
159,138,127
160,138,108
161,138,95
162,138,111
163,138,98
164,138,83
165,138,104
166,138,71
167,138,75
168,138,68
169,138,46
170,138,62
171,138,63
172,138,75
173,138,61
174,138,63
175,138,38
176,138,46
177,138,42
178,138,25
179,138,20
180,138,30
181,138,11
182,138,20
183,138,15
184,138,12
185,138,15
186,138,3
187,138,6
188,138,3
139,139,15
140,139,4
141,139,6
142,139,14
143,139,7
144,139,6
145,139,0
146,139,17
147,139,24
148,139,51
149,139,49
150,139,70
151,139,76
152,139,62
153,139,84
154,139,74
155,139,74
156,139,70
157,139,58
158,139,73
159,139,67
160,139,56
161,139,68
162,139,38
163,139,34
164,139,85
165,139,43
166,139,60
167,139,47
168,139,45
169,139,29
170,139,43
139,140,5
140,140,5
141,140,1
142,140,8
143,140,12
144,140,12
145,140,5
146,140,18
147,140,21
148,140,26
149,140,15
150,140,31
151,140,48
152,140,55
