X,Y,Value
121,105,0.740
120,106,-0.440
121,106,-0.240
122,106,-0.230
123,106,-0.430
124,106,-0.080
125,106,2.740
126,106,-0.150
127,106,-0.310
128,106,-0.270
120,107,-0.200
121,107,-0.180
122,107,-0.250
123,107,-0.220
124,107,-0.310
125,107,-0.200
126,107,-0.280
127,107,-0.200
128,107,-0.110
129,107,-0.120
130,107,0.720
131,107,-0.200
132,107,0.920
133,107,-0.270
134,107,-0.300
135,107,-0.110
120,108,-0.350
121,108,-0.350
122,108,-0.230
123,108,-0.220
124,108,0.830
125,108,-0.170
126,108,-0.200
127,108,-0.190
128,108,-0.180
129,108,-0.150
130,108,-0.270
131,108,-0.240
132,108,-0.200
133,108,-0.250
134,108,-0.220
135,108,-0.280
136,108,-0.100
137,108,-0.170
138,108,0.680
139,108,-0.170
140,108,-0.280
141,108,-0.180
142,108,-0.200
120,109,-0.260
121,109,-0.240
122,109,-0.260
123,109,-0.160
124,109,-0.170
125,109,-0.230
126,109,-0.180
127,109,-0.300
128,109,-0.150
129,109,-0.330
130,109,-0.170
131,109,-0.240
132,109,3.790
133,109,-0.280
134,109,0.760
135,109,-0.200
136,109,-0.280
137,109,1.870
138,109,-0.250
139,109,-0.250
140,109,-0.060
141,109,-0.290
142,109,-0.190
143,109,-0.170
144,109,-0.240
145,109,-0.170
146,109,-0.120
147,109,-0.360
148,109,-0.270
149,109,-0.250
120,110,-0.390
121,110,-0.180
122,110,-0.330
123,110,-0.360
124,110,-0.130
125,110,-0.240
126,110,-0.220
127,110,-0.130
128,110,-0.210
129,110,-0.230
130,110,1.800
131,110,2.850
132,110,-0.210
133,110,-0.310
134,110,1.700
135,110,-0.340
136,110,-0.190
137,110,0.810
138,110,-0.390
139,110,-0.140
140,110,-0.250
141,110,-0.250
142,110,-0.220
143,110,-0.120
144,110,-0.290
145,110,-0.340
146,110,1.800
147,110,-0.180
148,110,-0.330
149,110,-0.250
150,110,-0.270
151,110,3.870
152,110,-0.170
153,110,-0.180
154,110,-0.380
155,110,-0.120
156,110,-0.210
120,111,-0.190
121,111,-0.380
122,111,-0.140
123,111,-0.300
124,111,-0.140
125,111,-0.350
126,111,-0.220
127,111,-0.300
128,111,0.850
129,111,-0.300
130,111,-0.230
131,111,-0.410
132,111,-0.240
133,111,-0.190
134,111,0.780
135,111,-0.270
136,111,-0.210
137,111,-0.210
138,111,2.720
139,111,-0.160
140,111,-0.230
141,111,-0.130
142,111,-0.120
143,111,-0.220
144,111,-0.250
145,111,-0.240
146,111,-0.200
147,111,0.650
148,111,4.800
149,111,1.790
150,111,-0.240
151,111,-0.060
152,111,-0.110
153,111,0.770
154,111,-0.230
